id,school_name,city,x_frpm,y_greenery_index
43733876047583,Alexander Rose Elementary,Milpitas,0.562,0.3802532342081428
43733876047591,Anthony Spangler Elementary,Milpitas,0.352,0.5921641034029986
43733876047609,Curtner Elementary,Milpitas,0.235,0.3348692042558412
43733876047625,John Sinnott Elementary,Milpitas,0.226,0.4873123224482587
43733876047633,Joseph Weller Elementary,Milpitas,0.437,0.2847642694745283
43733876047641,Marshall Pomeroy Elementary,Milpitas,0.276,0.4055656268587141
43733876047666,Rancho Milpitas Middle,Milpitas,0.437,0.5518182772365187
43733876047674,Robert Randall World Languages,Milpitas,0.593,0.3400463503234963
43733876047682,Thomas Russell Middle,Milpitas,0.3879999999999999,0.4070227212687567
43733876047690,William Burnett Elementary,Milpitas,0.461,0.4698092723771395
43733876067219,Pearl Zanker Elementary,Milpitas,0.359,0.5561257539042351
